PM2.5,PM10,PM1.0,DATE,ID
7,9,4,2020-11-04 19:00:25,2
4,5,4,2020-11-04 19:00:56,2
4,6,4,2020-11-04 19:01:26,2
7,8,5,2020-11-04 19:01:56,2
8,10,5,2020-11-04 19:02:27,2
7,8,5,2020-11-04 19:02:57,2
6,7,4,2020-11-04 19:03:27,2
9,10,4,2020-11-04 19:03:57,2
9,9,3,2020-11-04 19:04:28,2
6,7,3,2020-11-04 19:04:58,2
3,4,3,2020-11-04 19:05:28,2
5,6,3,2020-11-04 19:05:59,2
6,7,3,2020-11-04 19:06:30,2
5,6,3,2020-11-04 19:07:01,2
3,5,3,2020-11-04 19:07:31,2
5,7,2,2020-11-04 19:08:01,2
5,7,3,2020-11-04 19:08:31,2
10,11,2,2020-11-04 19:09:03,2
11,13,3,2020-11-04 19:09:33,2
13,16,3,2020-11-04 19:10:03,2
14,17,4,2020-11-04 19:10:34,2
14,16,4,2020-11-04 19:11:04,2
15,17,5,2020-11-04 19:11:34,2
9,11,4,2020-11-04 19:12:04,2
5,7,3,2020-11-04 19:12:35,2
3,5,3,2020-11-04 19:13:06,2
3,5,3,2020-11-04 19:13:36,2
3,5,3,2020-11-04 19:14:07,2
4,5,4,2020-11-04 19:14:38,2
7,7,4,2020-11-04 19:15:09,2
7,7,4,2020-11-04 19:15:39,2
8,8,5,2020-11-04 19:16:10,2
5,5,5,2020-11-04 19:16:40,2
7,7,4,2020-11-04 19:17:10,2
8,9,3,2020-11-04 19:17:40,2
8,9,3,2020-11-04 19:18:11,2
11,12,3,2020-11-04 19:18:41,2
16,17,4,2020-11-04 19:19:12,2
17,18,4,2020-11-04 19:19:42,2
11,13,4,2020-11-04 19:20:12,2
6,7,3,2020-11-04 19:20:42,2
7,8,4,2020-11-04 19:21:13,2
9,10,4,2020-11-04 19:21:43,2
7,10,5,2020-11-04 19:22:13,2
6,9,4,2020-11-04 19:22:44,2
7,11,5,2020-11-04 19:23:15,2
7,10,5,2020-11-04 19:23:46,2
7,10,4,2020-11-04 19:24:16,2
6,10,4,2020-11-04 19:24:46,2
6,9,3,2020-11-04 19:25:16,2
6,10,3,2020-11-04 19:25:48,2
6,8,6,2020-11-04 19:26:18,2
8,12,6,2020-11-04 19:26:49,2
12,16,5,2020-11-04 19:27:19,2
11,14,3,2020-11-04 19:27:49,2
8,11,4,2020-11-04 19:28:20,2
7,10,5,2020-11-04 19:28:51,2
7,9,4,2020-11-04 19:29:21,2
8,10,5,2020-11-04 19:29:53,2
6,7,4,2020-11-04 19:30:23,2
8,9,5,2020-11-04 19:30:53,2
8,9,5,2020-11-04 19:31:23,2
5,7,5,2020-11-04 19:31:53,2
4,5,4,2020-11-04 19:32:24,2
3,4,3,2020-11-04 19:32:54,2
2,3,2,2020-11-04 19:33:24,2
4,5,4,2020-11-04 19:33:54,2
4,6,4,2020-11-04 19:34:25,2
7,8,5,2020-11-04 19:34:55,2
8,9,3,2020-11-04 19:35:26,2
8,10,3,2020-11-04 19:35:56,2
6,10,4,2020-11-04 19:36:27,2
3,8,3,2020-11-04 19:36:58,2
4,9,4,2020-11-04 19:37:28,2
4,8,4,2020-11-04 19:37:58,2
4,6,4,2020-11-04 19:38:28,2
3,6,3,2020-11-04 19:38:59,2
5,7,2,2020-11-04 19:39:29,2
7,8,2,2020-11-04 19:39:59,2
8,8,3,2020-11-04 19:40:29,2
6,6,3,2020-11-04 19:41:01,2
5,5,5,2020-11-04 19:41:32,2
6,6,6,2020-11-04 19:42:03,2
8,9,6,2020-11-04 19:42:33,2
9,10,4,2020-11-04 19:43:03,2
9,11,4,2020-11-04 19:43:34,2
6,9,4,2020-11-04 19:44:04,2
4,7,4,2020-11-04 19:44:35,2
5,8,5,2020-11-04 19:45:05,2
8,9,5,2020-11-04 19:45:35,2
7,9,5,2020-11-04 19:46:05,2
9,10,4,2020-11-04 19:46:36,2
8,9,3,2020-11-04 19:47:06,2
10,11,3,2020-11-04 19:47:36,2
9,9,2,2020-11-04 19:48:07,2
10,11,3,2020-11-04 19:48:39,2
8,10,3,2020-11-04 19:49:09,2
7,10,4,2020-11-04 19:49:39,2
5,9,3,2020-11-04 19:50:10,2
8,10,3,2020-11-04 19:50:40,2
9,11,4,2020-11-04 19:51:10,2
10,11,5,2020-11-04 19:51:40,2
